Date and time (UTC),"Rocket, Booster Version",Boosters,Stage 2 Version,Stage 2 Serial Number,Launch site,Time Between Launches,Payload,Payload mass,Orbit,Customer,Launchoutcome,Landing Location,Booster landing / Ship landing,Latitude,Longitude,Support,Tug,Recovered,Fairing Flight Numbers,Fairing Recovery Ships,Fairing Latitude,Fairing Longitude
5/4/21 19:01,F9 v1.2 B5.0,B1049-9,Unknown,Unknown,LC-39A,"5 days, 15 hours, 17 minutes",Starlink 25 v1.0 (60 satellites),"15,600 kg (34,400 lb)",Low-Earth Orbit,SpaceX,Success,OCISLY,Success,32.5767,-75.8817,GO Quest,Mr. Jonah,No / Yes,3 / 1,Shelia Bordelon,32.8033,-75.4317
5/9/21 6:42,F9 v1.2 B5.1 ,B1051-10,Unknown,Unknown,SLC-40,"4 days, 11 hours, 41 minutes",Starlink 27 v1.0 (60 satellites),"15,600 kg (34,400 lb)",Low-Earth Orbit,SpaceX,Success,JRtI,Success,32.5282,-76.0067,GO Quest,Finn Falgout,Yes / Yes,2 / 2,Shelia Bordelon,32.6933,-75.5150
5/15/21 22:56,F9 v1.2 B5.3,B1058-8,Unknown,Unknown,LC-39A,"6 days, 16 hours, 14 minutes",Starlink 26 v1.0 (52 Satellites) Capella-6 &Tyvak-0130,"~14,000 kg (31,000 lb)",Low-Earth Orbit,SpaceX Capella Space and Tyvak,Success,OCISLY,Success,32.4133,-76.0722,GO Quest,Mr. Jonah,Yes / No,2 / 2,Shelia Bordelon,32.7783,-75.3917
5/26/21 18:59,F9 v1.2 B5.4,B1063-2,Unknown,Unknown,SLC-40,"10 days, 20 hours, 03 minutes",Starlink 28 v1.0 (60 Satellites),"15,600 kg (34,400 lb)",Low-Earth Orbit,SpaceX,Success,JRtI,Success,32.5203,-75.9596,GO Quest,Finn Falgout,Yes / Yes,5 / 3,GO Navigator / GO Searcher,32.7643,-75.6101
6/3/21 17:29,F9 v1.2 B5.4,B1067-1,Unknown,Unknown,LC-39A,"7 days, 22 hours, 30 minutes",SpaceX CRS-22 (Dragon C209-1),"3,328 kg (7,337 lb) (excl. Dragon mass)",Low-Earth Orbit,NASA (CRS),Success,OCISLY,Success,30.5356,-78.3928,GO Quest,Mr. Jonah,N/A,N/A,N/A,N/A,N/A
6/6/21 4:26,F9 v1.2 B5.4,B1061-3,Unknown,Unknown,SLC-40,"2 days, 10 hours, 56 minutes",SXM-8,"7,000 kg (15,000 lb)",Geostationary Transfer Orbit,Sirius XM,Success,JRtI,Success,28.3985,-73.8842,GO Quest,Finn Falgout,Yes / Yes,1 / 1,GO Navigator / GO Searcher,28.3309,-72.7926
6/17/21 16:09,F9 v1.2 B5.4,B1062-2,Unknown,Unknown,SLC-40,"11 days, 11 hours, 43 minutes",GPS III SV05 (Neil Armstrong),"4,331 kg (9,548 lb)",Medium-Earth Orbit,USSF,Success,JRtI,Success,32.6950,-76.1483,GO Quest,Finn Falgout,Yes / Yes,1 / 1,Hos Briarwood,33.6533,-74.9150
6/30/21 19:31,F9 v1.2 B5.4,B1060-8,Unknown,Unknown,SLC-40,"13 days, 03 hours, 21 minutes",Transporter-2: (88 payloads Smallsat Rideshare),Unknown,Sun-Synchronous Orbit,Various,Success,LZ-1,Success,N/A,N/A,N/A,N/A,Yes / Yes,3 / 3,Hos Briarwood,23.3800,-79.2600
8/29/21 7:14,F9 v1.2 B5.4,B1061-4,Unknown,Unknown,LC-39A,"59 days, 11 hours, 42 minutes",SpaceX CRS-23 (Dragon C208-2),"~2,200 kg (4,900 lb) (excl. Dragon mass)",Low-Earth Orbit,NASA (CRS),Success,ASoG,Success,30.5464,-78.4486,GO Quest,Finn Falgout,N/A,N/A,N/A,N/A,N/A
9/14/21 3:55,F9 v1.2 B5.0 ,B1049-10,Unknown,Unknown,SLC-4E,"15 days, 20 hours, 41 minutes","Starlink Group 2-1 (v1.5 L1, 51 satellites)","~13,260 kg (29,230 lb)",Low-Earth Orbit,SpaceX,Success,OCISLY,Success,29.3725,-117.8551,Adele Elise,Scorpius,Yes / Yes,2 / 3,NRC Quest,29.0383,-117.7153
9/16/21 0:02,F9 v1.2 B5.4,B1062-3,Unknown,Unknown,LC-39A,"1 days, 20 hours, 06 minutes",Inspiration4 (Crew Dragon C207-2 Resilience),"~12,519 kg (27,600 lb)",Low-Earth Orbit,Jared Isaacman,Success,JRtI,Success,32.2143,-76.6468,GO Quest,Finn Falgout,N/A,N/A,N/A,N/A,N/A
11/11/21 2:03,F9 v1.2 B5.4,B1067-2,Unknown,Unknown,LC-39A,"56 days, 02 hours, 01 minutes",Crew-3 (Crew Dragon C210-1 Endurance),"~13,000 kg (29,000 lb)",Low-Earth Orbit,NASA (CTS),Success,ASoG,Success,32.2176,-76.6772,Doug,Doug,N/A,N/A,N/A,N/A,N/A
11/13/21 12:19,F9 v1.2 B5.3,B1058-9,Unknown,Unknown,SLC-40,"2 days, 10 hours, 15 minutes",Starlink Group 4-1 (53 satellites),"~15,635 kg (34,469 lb)",Low-Earth Orbit,SpaceX,Success,JRtI,Success,32.5891,-75.8816,Bob,Finn Falgout,Yes / Yes,3 / 2,Bob,32.7395,-75.5675
11/24/21 6:21,F9 v1.2 B5.4,B1063-3,Unknown,Unknown,SLC-4E,"10 days, 18 hours, 01 minutes",Double Asteroid Redirection Test (DART),"624 kg (1,376 lb)",Heliocentric,NASA (LSP),Success,OCISLY,Success,28.9572,-119.4121,GO Quest,Scorpius,Yes / Yes,1 / 1,NRC Quest,28.1139,-119.0738
12/2/21 23:12,F9 v1.2 B5.4,B1060-9,Unknown,Unknown,SLC-40,"8 days, 16 hours, 51 minutes",Starlink Group 4-3 (48 satellites)SXRS-2: BlackSky Global (2 sats),"~14,500 kg (32,000 lb)",Low-Earth Orbit,"SpaceXSpaceflight, Inc. (BlackSky Global)",Success,ASoG,Success,32.5134,-75.9688,Bob,Finn Falgout,Yes / Yes,1 / 1,Bob,32.9000,-75.1539
12/9/21 6:00,F9 v1.2 B5.4,B1061-5,Unknown,Unknown,LC-39A,"6 days, 06 hours, 47 minutes",Imaging X-ray Polarimetry Explorer (IXPE),325 kg (717 lb),Low-Earth Orbit,NASA (LSP),Success,JRtI,Success,28.2188,-73.9759,Doug,Doug,Yes / Yes,1 / 1,Bob,28.0884,-71.8599
12/18/21 12:41,F9 v1.2 B5.1 ,B1051-11,Unknown,Unknown,SLC-4E,"9 days, 06 hours, 40 minutes",Starlink Group 4-4(52 satellites),"15,600 kg (34,400 lb)",Low-Earth Orbit,SpaceX,Success,OCISLY,Success,29.9036,-116.7626,GO Quest,Scorpius,Yes / Yes,3 / 4,NRC Quest,29.7984,-116.8156
12/19/21 3:58,F9 v1.2 B5.4,B1067-3,Unknown,Unknown,SLC-40,"0 days, 15 hours, 17 minutes",Türksat 5B,"4,500 kg (9,900 lb)",Geostationary Transfer Orbit,Türksat,Success,ASoG,Success,28.2533,-73.8800,Bob,Finn Falgout,Yes / Yes,2 / 2,Bob,28.1826,-72.5141
12/21/21 10:06,F9 v1.2 B5.4,B1069-1,Unknown,Unknown,LC-39A,"2 days, 06 hours, 07 minutes",SpaceX CRS-24 (Dragon C209-2),"2,989 kg (6,590 lb) (excl. Dragon mass)",Low-Earth Orbit,NASA (CRS),Success,JRtI,Success,32.5782,-76.1416,Doug,Doug,N/A,N/A,N/A,N/A,N/A
1/6/22 21:49,F9 v1.2 B5.4,B1062-4,Unknown,Unknown,LC-39A,"16 days, 11 hours, 43 minutes",Starlink Group 4-5(49 satellites),"~14,500 kg (32,000 lb)",Low-Earth Orbit,SpaceX,Success,ASoG,Success,25.6617,-75.0750,Doug,Zion M Falgout,Yes / Yes,5 / 4,Doug,25.7448,-74.9456
1/13/22 15:25,F9 v1.2 B5.3 ,B1058-10,Unknown,Unknown,SLC-40,"6 days, 17 hours, 35 minutes",Transporter-3: (105 payloads Smallsat Rideshare),Unknown,Sun-Synchronous Orbit,Various,Success,LZ-1,Success,N/A,N/A,N/A,N/A,Yes / Yes,1 / 1,Bob,23.2205,-79.1353
1/19/22 2:02,F9 v1.2 B5.4 ,B1060-10,Unknown,Unknown,LC-39A,"5 days, 10 hours, 37 minutes",Starlink Group 4-6(49 satellites),"~14,500 kg (32,000 lb)",Low-Earth Orbit,SpaceX,Success,ASoG,Success,25.6526,-75.0576,Doug,Zion M Falgout,Yes / Yes,2 / 2,Doug,25.7262,-74.9330
1/31/22 23:11,F9 v1.2 B5.1,B1052-3,Unknown,Unknown,SLC-40,"12 days, 21 hours, 08 minutes",CSG-2,"2,205 kg (4,861 lb)",Sun-Synchronous Orbit,ASI,Success,LZ-1,Success,N/A,N/A,N/A,N/A,Yes / Yes,4 / 4,Bob,23.1630,-79.2897
2/2/22 20:27,F9 v1.2 B5.4,B1071-1,Unknown,Unknown,SLC-4E,"1 days, 21 hours, 15 minutes",NROL-87,Classified,Sun-Synchronous Orbit,NRO,Success,LZ-4,Success,N/A,N/A,N/A,N/A,Yes / Yes,1 / 1,NRC Quest,31.2444,-121.6432
2/3/22 18:13,F9 v1.2 B5.4,B1061-6,Unknown,Unknown,LC-39A,"0 days, 21 hours, 46 minutes",Starlink Group 4-7(49 satellites),"~14,500 kg (32,000 lb)",Low-Earth Orbit,SpaceX,Success,ASoG,Success,25.6304,-75.1038,Doug,Zion M Falgout,Yes / Yes,6 / 4,Doug,25.6470,-75.0376
